"prob";"ind";"l_rate";"temperature";"correct";"sampling";"n_flowers"
0.3;4;0.5;0.05;0.513715710723192;0.486284289276808;12
0.3;4;0.5;0.1;0.371571072319202;0.628428927680798;12
0.3;5;0.05;0.0125;1;0;1
0.3;5;0.05;0.025;0.997506234413965;0.00249376558603487;2
0.3;5;0.05;0.05;0.957605985037406;0.0423940149625935;10
0.3;5;0.05;0.1;0.735660847880299;0.264339152119701;12
0.3;5;0.1;0.0125;1;0;1
0.3;5;0.1;0.025;0.977556109725686;0.0224438902743143;8
0.3;5;0.1;0.05;0.940149625935162;0.059850374064838;12
0.3;5;0.1;0.1;0.586034912718205;0.413965087281795;12
0.3;5;0.2;0.0125;0.997506234413965;0.00249376558603487;3
0.3;5;0.2;0.025;0.910224438902743;0.0897755610972568;12
0.3;5;0.2;0.05;0.825436408977556;0.174563591022444;12
0.3;5;0.2;0.1;0.513715710723192;0.486284289276808;12
0.3;5;0.3;0.0125;0.947630922693267;0.0523690773067331;11
0.3;5;0.3;0.025;0.802992518703242;0.197007481296758;12
0.3;5;0.3;0.05;0.608478802992519;0.391521197007481;12
0.3;5;0.3;0.1;0.541147132169576;0.458852867830424;12
0.3;5;0.4;0.0125;0.688279301745636;0.311720698254364;12
0.3;5;0.4;0.025;0.596009975062344;0.403990024937656;12
0.3;5;0.4;0.05;0.488778054862843;0.511221945137157;12
0.3;5;0.4;0.1;0.556109725685786;0.443890274314214;12
0.3;5;0.5;0.0125;0.690773067331671;0.309226932668329;12
0.3;5;0.5;0.025;0.546134663341646;0.453865336658354;12
0.3;5;0.5;0.05;0.556109725685786;0.443890274314214;12
0.3;5;0.5;0.1;0.468827930174564;0.531172069825436;12
0.3;6;0.05;0.0125;1;0;1
0.3;6;0.05;0.025;1;0;1
0.3;6;0.05;0.05;0.975062344139651;0.0249376558603491;7
0.3;6;0.05;0.1;0.613466334164589;0.386533665835411;12
0.3;6;0.1;0.0125;0.980049875311721;0.0199501246882793;5
0.3;6;0.1;0.025;0.992518703241895;0.00748129675810472;4
0.3;6;0.1;0.05;0.940149625935162;0.059850374064838;12
0.3;6;0.1;0.1;0.638403990024938;0.361596009975062;12
0.3;6;0.2;0.0125;1;0;1
0.3;6;0.2;0.025;0.927680798004987;0.0723192019950125;12
0.3;6;0.2;0.05;0.743142144638404;0.256857855361596;12
0.3;6;0.2;0.1;0.70573566084788;0.29426433915212;12
0.3;6;0.3;0.0125;0.972568578553616;0.027431421446384;9
0.3;6;0.3;0.025;0.900249376558603;0.0997506234413965;12
0.3;6;0.3;0.05;0.815461346633416;0.184538653366584;12
0.3;6;0.3;0.1;0.42643391521197;0.57356608478803;12
0.3;6;0.4;0.0125;0.827930174563591;0.172069825436409;12
0.3;6;0.4;0.025;0.521197007481297;0.478802992518703;12
0.3;6;0.4;0.05;0.518703241895262;0.481296758104738;12
0.3;6;0.4;0.1;0.551122194513716;0.448877805486284;12
